transaction_id,customer_id,product_id,quantity,unit_price,transaction_date
TX_000001,CUST_0948,PROD_023,2,363.67,2025-05-30 00:00:00
TX_000002,CUST_0691,PROD_083,8,190.62,2025-07-20 00:00:00
TX_000003,CUST_0941,PROD_019,5,304.96,2025-05-10 00:00:00
TX_000004,CUST_0806,PROD_999,4,406.94,2025-05-11 00:00:00
TX_000005,CUST_0568,PROD_054,4,136.52,2025-08-07 00:00:00
TX_000006,CUST_0222,PROD_050,6,64.13,2025-04-03 00:00:00
TX_000007,CUST_0112,PROD_009,5,58.19,2025-10-02 00:00:00
TX_000008,CUST_0867,PROD_085,10,34.64,2025-02-27 00:00:00
TX_000009,CUST_0568,PROD_031,4,114.12,2025-11-06 00:00:00
TX_000010,CUST_0725,PROD_020,1,279.09,2025-06-12 00:00:00
TX_000011,CUST_0785,PROD_079,1,477.46,2025-02-16 00:00:00
TX_000012,CUST_0553,PROD_016,2,126.87,2025-07-28 00:00:00
TX_000013,CUST_0340,PROD_029,5,58.16,2025-05-03 00:00:00
TX_000014,CUST_0792,PROD_030,2,424.4,2025-07-29 00:00:00
TX_000015,CUST_0788,PROD_097,7,16.4,2025-05-20 00:00:00
TX_000016,CUST_0895,PROD_068,6,164.43,2025-09-13 00:00:00
TX_000017,CUST_0906,PROD_048,3,353.21,2025-11-04 00:00:00
TX_000018,CUST_0345,PROD_027,4,160.53,2025-07-27 00:00:00
TX_000019,CUST_0473,PROD_061,1,344.81,2025-10-16 00:00:00
TX_000020,CUST_0927,PROD_003,7,287.97,2025-07-04 00:00:00
TX_000021,CUST_0913,PROD_012,7,131.19,2025-04-28 00:00:00
TX_000022,CUST_0533,PROD_022,4,427.56,2025-11-27 00:00:00
TX_000023,CUST_0401,PROD_049,6,28.75,2025/04/28
TX_000024,CUST_0190,PROD_071,1,128.94,2025-09-26 00:00:00
TX_000025,CUST_0601,PROD_056,5,436.15,2025-04-06 00:00:00
TX_000026,CUST_0137,PROD_012,10,30.81,2025-12-02 00:00:00
TX_000027,CUST_0361,PROD_061,7,447.99,2025/05/01
TX_000028,CUST_0158,PROD_013,5,409.56,2025-04-02 00:00:00
TX_000029,CUST_0756,PROD_020,9,466.41,2025-05-06 00:00:00
TX_000030,CUST_0352,PROD_066,1,252.95,2025-01-30 00:00:00
TX_000031,CUST_0961,PROD_017,4,431.54,2025-07-08 00:00:00
TX_000032,CUST_0504,PROD_091,2,358.15,2025-03-24 00:00:00
TX_000033,CUST_0138,PROD_018,1,147.17,2025-09-28 00:00:00
TX_000034,CUST_0809,PROD_093,7,444.95,2025-08-27 00:00:00
TX_000035,CUST_0725,PROD_074,7,377.06,2025-09-26 00:00:00
TX_000036,CUST_0390,PROD_005,4,41.34,2025-07-08 00:00:00
TX_000037,CUST_0845,PROD_039,6,16.82,2025-09-07 00:00:00
TX_000038,CUST_9999,PROD_082,3,227.72,2025-10-30 00:00:00
TX_000039,CUST_0619,PROD_019,1,450.75,2025-08-13 00:00:00
TX_000040,CUST_0953,PROD_027,8,69.55,2025-01-27 00:00:00
TX_000041,CUST_0208,PROD_007,6,235.22,2025-07-17 00:00:00
TX_000042,CUST_0160,PROD_046,9,278.05,2025-01-21 00:00:00
TX_000043,CUST_0982,PROD_043,4,158.62,2025-09-17 00:00:00
TX_000044,CUST_0299,PROD_072,5,34.64,2025-09-18 00:00:00
TX_000045,CUST_0050,PROD_043,10,232.84,2025-11-15 00:00:00
TX_000046,CUST_0253,PROD_098,8,219.54,2025/09/21
TX_000047,CUST_0138,PROD_020,7,168.43,2026-01-01 00:00:00
TX_000048,CUST_0548,PROD_098,4,51.13,2025-07-16 00:00:00
TX_000049,CUST_0091,PROD_018,4,212.1,2025-04-10 00:00:00
TX_000050,CUST_0311,PROD_073,5,495.26,2025/04/18
TX_000051,CUST_0077,PROD_062,2,113.45,2025-03-26 00:00:00
TX_000052,CUST_0164,PROD_044,10,365.32,2025-07-10 00:00:00
TX_000053,CUST_0529,PROD_071,6,317.6,2025-06-17 00:00:00
TX_000054,CUST_0572,PROD_100,4,116.97,2025-01-12 00:00:00
TX_000055,CUST_0616,PROD_093,7,30.39,2025-10-30 00:00:00
TX_000056,CUST_0219,PROD_072,4,423.02,2025-04-23 00:00:00
TX_000057,CUST_0314,PROD_090,9,255.39,2025-07-31 00:00:00
TX_000058,CUST_0679,PROD_032,3,313.41,2025/12/06
